sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	treat
ZDCK1	-0.3694052774312475	0.4972931635542155	0.06001925265966951	0.6929747916749205	0.043024990202494784	0.12599419775823764	0.09254203892107415	-0.11812090909880298	0.059956449653985285	-0.018101973812151013	0.0701770722704777	SC
ZDCK2	-0.40247230502758913	0.20777637025327653	0.050522238525790145	-0.5378501046354254	-0.03734175756672302	0.1388656266461069	0.5779641299028929	0.23803843981961162	-0.08817689891917557	0.0015204940569962487	-0.02271734714915824	SC
ZDCK3	-0.4131205495497908	0.18505918787674888	-0.014423353050863428	-0.35619871560897587	0.01984379865647309	-0.2420809985000689	-0.7121467311136596	-0.1284518780445766	0.03429428529977413	-0.003807392652855345	-0.028726034220474754	SC
ZDCE1	0.05751524348066407	-0.14174379068350373	-0.27081581433249213	0.18042118111783167	0.19317677529886107	-0.15715344606758325	-0.097153367650369	0.48786432672912206	-0.585978175383219	-0.35513256914037133	0.09176022772440996	SC_N1
ZDCE2	0.03277779507994699	-0.16054766259187991	-0.4944484699244895	0.021064235543470602	0.24443467742786676	-0.5442858354973313	0.3182390798286593	-0.311651169873741	0.29415354754098616	0.06124637043613638	-0.0147772167285985	SC_N1
ZDCE3	0.08897376306830086	-0.13297347988860053	-0.5536992142184336	-0.05641016910285196	-0.12769801275844797	0.6840352548497031	-0.12485846547712864	-0.24000256272122694	-0.06936832376593471	0.13157006571257873	-0.04217745140004982	SC_N1
ZDP1	-0.06127040074559871	-0.3371385836376324	0.12141962603057163	0.13356472059865981	-0.10931713939491637	-0.018161673132221473	-0.08699093228109706	0.4441826462218457	0.2494771441390507	0.5983693676591054	0.35949609937687926	SC_N2
ZDP2	-0.12482997762193572	-0.42807418009986187	0.2808854284368816	0.11810819202386191	-0.6315447756700655	-0.1516849333445332	0.1001366937054025	-0.31814865669876025	-0.2043108991679677	-0.19911508918392873	-0.10245809206294403	SC_N2
ZDP3	-0.027074253332836126	-0.37208067261443545	0.3640439870054033	0.03465713933201553	0.5150469873941953	0.2677626543982097	-0.04010321920502987	0.033117111127643234	0.30952304678607684	-0.26905732839711355	-0.3686310767532592	SC_N2
ZDD1	0.3777419095836955	0.19995869056872023	0.28393348344333363	-0.03754609801491811	0.202473941148735	-0.09799242728110295	0.025935314992014954	-0.20412293746047544	-0.4526914319422573	0.517441106546994	-0.29386127317474103	SC_N3
ZDD2	0.3885551136763757	0.14121987859668428	0.24048790591630007	-0.18143698194971206	0.08604231203507363	0.07715845552399082	0.009450830252397159	-0.23459881504893013	0.07594523936151867	-0.2897523615258317	0.704831884604572	SC_N3
ZDD3	0.452608938820012	0.34125107866627646	-0.06792507049167576	-0.011348190978882677	-0.39814179677355804	-0.08245687535340854	-0.06301537187515156	0.3518944050482883	0.37717601639715864	-0.17518068969955908	-0.35291679248709634	SC_N3
